Time_min,Measured_C,Blended_Fit,Gaussian_Component,erfc_Component,Weight
0.0,0.00000,0.04591,0.04591,0.47708,1.00000
5.0,0.58438,0.55243,0.55244,0.45605,0.99997
10.0,0.83879,0.90432,0.90450,0.40856,0.99964
15.0,1.00000,0.96324,0.96588,0.36925,0.99556
20.0,0.92443,0.91350,0.94506,0.33813,0.94801
25.0,0.64736,0.66357,0.90034,0.31284,0.59698
30.0,0.35516,0.35167,0.84995,0.29171,0.10741
35.0,0.29471,0.27876,0.80012,0.27367,0.00968
40.0,0.27204,0.25837,0.75305,0.25798,0.00079
45.0,0.24433,0.24418,0.70937,0.24415,0.00006
50.0,0.20907,0.23183,0.66911,0.23183,0.00001
55.0,0.21914,0.22074,0.63210,0.22074,0.00000
60.0,0.19144,0.20963,0.59445,0.20963,0.00000
65.0,0.19899,0.20056,0.56338,0.20056,0.00000
70.0,0.17128,0.19223,0.53470,0.19223,0.00000
75.0,0.20403,0.18455,0.50818,0.18455,0.00000
80.0,0.17884,0.17745,0.48360,0.17745,0.00000
85.0,0.16373,0.17086,0.46076,0.17086,0.00000
90.0,0.16877,0.16472,0.43950,0.16472,0.00000
95.0,0.15617,0.15899,0.41967,0.15899,0.00000
100.0,0.15617,0.15363,0.40114,0.15363,0.00000
105.0,0.15113,0.14860,0.38380,0.14860,0.00000
