时间	吸光度	浓度	T	C/C0		oil fipw	
			min				
0	0	0	0	0	The experimenta flow rate	0.5	
10	0.232	1.04223968565815	5	0.584382871536524	The fitted flow rate	0.46	0.04
20	0.333	1.53831041257367	10	0.838790931989924			
30	0.397	1.85265225933202	15	1			
40	0.367	1.70530451866405	20	0.924433249370277			
50	0.257	1.16502946954813	25	0.64735516372796			
60	0.141	0.595284872298625	30	0.355163727959698			
70	0.117	0.477406679764244	35	0.294710327455919			
80	0.108	0.433202357563851	40	0.272040302267002			
90	0.097	0.379174852652259	45	0.244332493702771			
100	0.083	0.31041257367387	50	0.209068010075567			
110	0.087	0.330058939096267	55	0.219143576826196			
120	0.076	0.276031434184676	60	0.191435768261965			
130	0.079	0.290766208251473	65	0.198992443324937			
140	0.068	0.236738703339882	70	0.171284634760705			
150	0.081	0.300589390962672	75	0.204030226700252			
160	0.071	0.25147347740668	80	0.178841309823678			
170	0.065	0.222003929273084	85	0.163727959697733			
180	0.067	0.231827111984283	90	0.168765743073048			
190	0.062	0.207269155206287	95	0.156171284634761			
200	0.062	0.207269155206287	100	0.156171284634761			
210	0.06	0.197445972495088	105	0.151133501259446			
