Time_min,Measured,Fitted,Gaussian_comp,erfc_comp,Weight
0.0,0.00000,0.04591,0.04591,0.47708,1.00000
5.0,0.58438,0.55667,0.55667,0.45574,0.99997
10.0,0.83879,0.90623,0.90641,0.40798,0.99963
15.0,1.00000,0.96320,0.96591,0.36895,0.99547
20.0,0.92443,0.91177,0.94447,0.33771,0.94611
25.0,0.64736,0.65500,0.89926,0.31234,0.58383
30.0,0.35516,0.34734,0.84850,0.29116,0.10080
35.0,0.29471,0.27775,0.79842,0.27309,0.00888
40.0,0.27204,0.25773,0.75116,0.25738,0.00072
45.0,0.24433,0.24356,0.70735,0.24353,0.00006
50.0,0.20907,0.23120,0.66700,0.23120,0.00000
55.0,0.21914,0.22022,0.63032,0.22022,0.00000
60.0,0.19144,0.21015,0.59621,0.21015,0.00000
65.0,0.19899,0.20097,0.56480,0.20097,0.00000
70.0,0.17128,0.19256,0.53584,0.19256,0.00000
75.0,0.20403,0.18481,0.50907,0.18481,0.00000
80.0,0.17884,0.17765,0.48426,0.17765,0.00000
85.0,0.16373,0.17100,0.46123,0.17100,0.00000
90.0,0.16877,0.16481,0.43981,0.16481,0.00000
95.0,0.15617,0.15910,0.42004,0.15910,0.00000
100.0,0.15617,0.15370,0.40138,0.15370,0.00000
105.0,0.15113,0.14863,0.38391,0.14863,0.00000
