Time_min,Gaussian_component,erfc_component,Blended_model,Blend_weight
0.010000,0.180030,50.180030,0.649927,0.990602
0.065023,0.180031,50.139072,0.656899,0.990455
0.120045,0.180034,49.550089,0.658664,0.990305
0.175068,0.180039,48.335384,0.654205,0.990153
0.230090,0.180043,46.854958,0.646829,0.989999
0.285113,0.180045,45.324903,0.638600,0.989843
0.340135,0.180047,43.838995,0.630451,0.989684
0.395158,0.180048,42.432623,0.622767,0.989522
0.450180,0.180049,41.115551,0.615681,0.989358
0.505203,0.180049,39.886635,0.609216,0.989192
0.560225,0.180049,38.740370,0.603348,0.989022
0.615248,0.180049,37.669803,0.598034,0.988851
0.670270,0.180049,36.667843,0.593225,0.988676
0.725293,0.180049,35.727796,0.588875,0.988499
0.780315,0.180049,34.843582,0.584939,0.988319
0.835338,0.180049,34.009769,0.581376,0.988137
0.890360,0.180048,33.221551,0.578152,0.987951
0.945383,0.180048,32.474687,0.575233,0.987763
1.000405,0.180048,31.765445,0.572592,0.987572
1.055428,0.180047,31.090531,0.570205,0.987378
1.110450,0.180047,30.447038,0.568048,0.987181
1.165473,0.180047,29.832389,0.566104,0.986981
1.220495,0.180047,29.244297,0.564354,0.986777
1.275518,0.180046,28.680725,0.562784,0.986571
1.330540,0.180046,28.139854,0.561379,0.986361
1.385563,0.180046,27.620051,0.560128,0.986149
1.440585,0.180046,27.119852,0.559019,0.985933
1.495608,0.180045,26.637934,0.558044,0.985713
1.550630,0.180045,26.173103,0.557192,0.985490
1.605653,0.180045,25.724274,0.556457,0.985264
1.660675,0.180045,25.290465,0.555830,0.985035
1.715698,0.180044,24.870776,0.555306,0.984802
1.770720,0.180044,24.464388,0.554878,0.984565
1.825743,0.180044,24.070549,0.554541,0.984324
1.880765,0.180044,23.688571,0.554290,0.984080
1.935788,0.180043,23.317819,0.554120,0.983833
1.990810,0.180043,22.957708,0.554028,0.983581
2.045833,0.180043,22.607698,0.554009,0.983326
2.100855,0.180043,22.267290,0.554061,0.983066
2.155878,0.180043,21.936019,0.554179,0.982803
2.210900,0.180042,21.613456,0.554361,0.982536
2.265923,0.180042,21.299200,0.554604,0.982264
2.320945,0.180042,20.992877,0.554905,0.981989
2.375968,0.180042,20.694139,0.555263,0.981709
2.430990,0.180042,20.402660,0.555674,0.981425
2.486013,0.180042,20.118135,0.556137,0.981137
2.541036,0.180041,19.840279,0.556650,0.980844
2.596058,0.180041,19.568822,0.557211,0.980547
2.651081,0.180041,19.303512,0.557819,0.980245
2.706103,0.180041,19.044113,0.558471,0.979939
2.761126,0.180041,18.790399,0.559167,0.979628
2.816148,0.180041,18.542161,0.559906,0.979313
2.871171,0.180040,18.299197,0.560684,0.978992
2.926193,0.180040,18.061321,0.561503,0.978667
2.981216,0.180040,17.828352,0.562360,0.978337
3.036238,0.180040,17.600123,0.563254,0.978002
3.091261,0.180040,17.376473,0.564185,0.977661
3.146283,0.180040,17.157249,0.565151,0.977316
3.201306,0.180040,16.942307,0.566152,0.976965
3.256328,0.180039,16.731509,0.567187,0.976609
3.311351,0.180039,16.524724,0.568254,0.976248
3.366373,0.180039,16.321828,0.569354,0.975882
3.421396,0.180039,16.122702,0.570485,0.975509
3.476418,0.180039,15.927231,0.571647,0.975132
3.531441,0.180039,15.735308,0.572840,0.974748
3.586463,0.180039,15.546829,0.574061,0.974359
3.641486,0.180039,15.361695,0.575312,0.973964
3.696508,0.180039,15.179812,0.576591,0.973563
3.751531,0.180038,15.001087,0.577899,0.973156
3.806553,0.180038,14.825436,0.579233,0.972743
3.861576,0.180038,14.652773,0.580595,0.972323
3.916598,0.180038,14.483019,0.581983,0.971898
3.971621,0.180038,14.316098,0.583397,0.971466
4.026643,0.180038,14.151935,0.584837,0.971028
4.081666,0.180038,13.990459,0.586302,0.970583
4.136688,0.180038,13.831603,0.587793,0.970131
4.191711,0.180038,13.675301,0.589307,0.969673
4.246733,0.180038,13.521489,0.590846,0.969208
4.301756,0.180037,13.370107,0.592409,0.968736
4.356778,0.180037,13.221096,0.593996,0.968257
4.411801,0.180037,13.074399,0.595605,0.967771
4.466823,0.180037,12.929963,0.597238,0.967278
4.521846,0.180037,12.787733,0.598894,0.966778
4.576868,0.180037,12.647660,0.600572,0.966270
4.631891,0.180037,12.509695,0.602272,0.965755
4.686913,0.180037,12.373789,0.603994,0.965232
4.741936,0.180037,12.239898,0.605738,0.964701
4.796958,0.180037,12.107976,0.607503,0.964163
4.851981,0.180037,11.977981,0.609290,0.963616
4.907004,0.180037,11.849872,0.611098,0.963062
4.962026,0.180036,11.723607,0.612926,0.962499
5.017049,0.180036,11.599148,0.614776,0.961929
5.072071,0.180036,11.476458,0.616645,0.961350
5.127094,0.180036,11.355500,0.618535,0.960762
5.182116,0.180036,11.236237,0.620445,0.960166
5.237139,0.180036,11.118636,0.622375,0.959562
5.292161,0.180036,11.002664,0.624324,0.958948
5.347184,0.180036,10.888288,0.626293,0.958326
5.402206,0.180036,10.775475,0.628282,0.957694
5.457229,0.180036,10.664197,0.630289,0.957054
5.512251,0.180036,10.554423,0.632316,0.956404
5.567274,0.180036,10.446124,0.634362,0.955745
5.622296,0.180036,10.339272,0.636426,0.955076
5.677319,0.180036,10.233839,0.638509,0.954398
5.732341,0.180035,10.129800,0.640610,0.953710
5.787364,0.180035,10.027128,0.642729,0.953012
5.842386,0.180035,9.925799,0.644867,0.952304
5.897409,0.180035,9.825787,0.647023,0.951586
5.952431,0.180035,9.727068,0.649196,0.950858
6.007454,0.180035,9.629620,0.651387,0.950119
6.062476,0.180035,9.533421,0.653596,0.949370
6.117499,0.180035,9.438446,0.655821,0.948610
6.172521,0.180035,9.344677,0.658065,0.947840
6.227544,0.180035,9.252090,0.660325,0.947058
6.282566,0.180035,9.160666,0.662602,0.946266
6.337589,0.180035,9.070386,0.664896,0.945462
6.392611,0.180035,8.981228,0.667207,0.944647
6.447634,0.180035,8.893175,0.669534,0.943821
6.502656,0.180035,8.806208,0.671878,0.942982
6.557679,0.180035,8.720309,0.674238,0.942133
6.612701,0.180035,8.635460,0.676613,0.941271
6.667724,0.180035,8.551643,0.679005,0.940397
6.722746,0.180035,8.468843,0.681413,0.939511
6.777769,0.180034,8.387042,0.683836,0.938613
6.832791,0.180034,8.306224,0.686275,0.937703
6.887814,0.180034,8.226374,0.688729,0.936779
6.942836,0.180034,8.147475,0.691198,0.935843
6.997859,0.180034,8.069514,0.693683,0.934895
7.052881,0.180034,7.992476,0.696182,0.933933
7.107904,0.180034,7.916345,0.698696,0.932957
7.162926,0.180034,7.841108,0.701224,0.931969
7.217949,0.180034,7.766751,0.703767,0.930967
7.272971,0.180034,7.693261,0.706324,0.929951
7.327994,0.180034,7.620624,0.708896,0.928922
7.383017,0.180034,7.548828,0.711481,0.927879
7.438039,0.180034,7.477859,0.714079,0.926821
7.493062,0.180034,7.407706,0.716692,0.925750
7.548084,0.180034,7.338355,0.719317,0.924663
7.603107,0.180034,7.269797,0.721956,0.923563
7.658129,0.180034,7.202017,0.724608,0.922447
7.713152,0.180034,7.135006,0.727272,0.921317
7.768174,0.180034,7.068752,0.729949,0.920172
7.823197,0.180034,7.003244,0.732639,0.919011
7.878219,0.180034,6.938471,0.735341,0.917835
7.933242,0.180034,6.874422,0.738055,0.916643
7.988264,0.180034,6.811088,0.740780,0.915436
8.043287,0.180034,6.748459,0.743517,0.914213
8.098309,0.180034,6.686523,0.746266,0.912974
8.153332,0.180033,6.625272,0.749025,0.911719
8.208354,0.180033,6.564696,0.751796,0.910448
8.263377,0.180033,6.504785,0.754577,0.909160
8.318399,0.180033,6.445531,0.757369,0.907855
8.373422,0.180033,6.386923,0.760170,0.906533
8.428444,0.180033,6.328954,0.762982,0.905195
8.483467,0.180033,6.271615,0.765804,0.903839
8.538489,0.180033,6.214896,0.768635,0.902466
8.593512,0.180033,6.158790,0.771475,0.901076
8.648534,0.180033,6.103289,0.774324,0.899668
8.703557,0.180033,6.048383,0.777182,0.898242
8.758579,0.180033,5.994066,0.780048,0.896799
8.813602,0.180033,5.940330,0.782923,0.895337
8.868624,0.180033,5.887166,0.785805,0.893857
8.923647,0.180033,5.834567,0.788695,0.892359
8.978669,0.180033,5.782526,0.791592,0.890842
9.033692,0.180033,5.731035,0.794496,0.889306
9.088714,0.180033,5.680088,0.797407,0.887751
9.143737,0.180033,5.629676,0.800324,0.886178
9.198759,0.180033,5.579794,0.803247,0.884585
9.253782,0.180033,5.530435,0.806176,0.882973
9.308804,0.180033,5.481591,0.809111,0.881341
9.363827,0.180033,5.433256,0.812050,0.879690
9.418849,0.180033,5.385424,0.814994,0.878019
9.473872,0.180033,5.338089,0.817943,0.876327
9.528894,0.180033,5.291243,0.820895,0.874616
9.583917,0.180033,5.244882,0.823852,0.872885
