Time_min,C_measured,C_fitted,Residual_x100
5.000000,0.584380,0.614776,-3.039553
10.000000,0.838790,0.847591,-0.880100
15.000000,1.000000,1.054482,-5.448154
20.000000,0.924430,0.935866,-1.143633
25.000000,0.647360,0.638142,0.921793
30.000000,0.355160,0.420932,-6.577175
35.000000,0.294710,0.303410,-0.869979
40.000000,0.272040,0.242569,2.947052
45.000000,0.244330,0.211852,3.247772
50.000000,0.209070,0.196298,1.277250
55.000000,0.219140,0.188381,3.075923
60.000000,0.191440,0.184332,0.710783
65.000000,0.198990,0.182253,1.673681
70.000000,0.171280,0.181182,-0.990188
75.000000,0.204030,0.180632,2.339751
80.000000,0.178840,0.180343,-0.150350
85.000000,0.163730,0.180193,-1.646341
90.000000,0.168770,0.180115,-1.134531
95.000000,0.156170,0.180075,-2.390460
100.000000,0.156170,0.180053,-2.388335
105.000000,0.151130,0.180042,-2.891224
