Time_h,T30_KPfit_pct,T60_KPfit_pct,T90_KPfit_pct,T120_KPfit_pct
10.000000,21.959525,37.936215,41.991967,70.611544
10.595250,22.732449,39.426626,43.394973,72.917161
11.225932,23.532578,40.975591,44.844856,75.298061
11.894155,24.360870,42.585410,46.343181,77.756703
12.602155,25.218315,44.258475,47.891567,80.295625
13.352298,26.105941,45.997270,49.491687,82.917448
14.147093,27.024809,47.804378,51.145268,85.624879
14.989199,27.976018,49.682482,52.854099,88.420714
15.881431,28.960709,51.634371,54.620023,91.307838
16.826772,29.980058,53.662945,56.444949,94.289233
17.828386,31.035285,55.771217,58.330848,97.367977
18.889620,32.127655,57.962316,60.279758,100.547249
20.014025,33.258473,60.239498,62.293783,103.830330
21.205359,34.429093,62.606144,64.375100,107.220612
22.467608,35.640916,65.065769,66.525956,110.721593
23.804992,36.895393,67.622026,68.748675,114.336888
25.221984,38.194024,70.278711,71.045657,118.070231
26.723322,39.538364,73.039771,73.419385,121.925475
28.314027,40.930022,75.909305,75.872423,125.906601
29.999419,42.370662,78.891575,78.407419,130.017720
31.785134,43.862010,81.991010,81.027113,134.263075
33.677144,45.405850,85.212214,83.734335,138.647050
35.681775,47.004030,88.559970,86.532008,143.174171
37.805732,48.658461,92.039251,89.423155,147.849112
40.056118,50.371125,95.655222,92.410899,152.676700
42.440458,52.144070,99.413256,95.498468,157.661919
44.966726,53.979419,103.318932,98.689196,162.809916
47.643369,55.879368,107.378052,101.986531,168.126007
50.479340,57.846191,111.596644,105.394034,173.615678
53.484122,59.882241,115.980972,108.915386,179.284600
56.667764,61.989955,120.537549,112.554391,185.138623
60.040912,64.171857,125.273142,116.314980,191.183793
63.614846,66.430555,130.194783,120.201215,197.426351
67.401519,68.768755,135.309782,124.217294,203.872741
71.413593,71.189254,140.625735,128.367556,210.529620
75.664486,73.694949,146.150538,132.656483,217.403860
80.168414,76.288838,151.892395,137.088709,224.502558
84.940437,78.974026,157.859834,141.669022,231.833045
89.996515,81.753726,164.061718,146.402368,239.402887
95.353557,84.631266,170.507256,151.293862,247.219900
101.029476,87.610088,177.206023,156.348787,255.292156
107.043254,90.693757,184.167965,161.572604,263.627988
113.415002,93.885965,191.403424,166.970955,272.236003
120.166028,97.190531,198.923144,172.549673,281.125087
127.318909,100.611409,206.738293,178.314782,290.304419
134.897565,104.152695,214.860478,184.272511,299.783476
142.927341,107.818625,223.301762,190.429296,309.572045
151.435089,111.613588,232.074681,196.791787,319.680230
160.449260,115.542124,241.192264,203.366857,330.118470
170.000000,119.608936,250.668052,210.161609,340.897540
