Time_h,T30_C_pct,T60_C_pct,T90_C_pct,T120_C_pct
12.0000,1.3000,1.8000,2.6000,3.7000
24.0000,3.5000,4.6000,7.1000,11.5000
36.0000,4.7000,8.5000,10.9000,18.2000
48.0000,6.5000,10.6000,13.9000,23.1000
60.0000,7.7000,12.4000,15.7000,26.3000
72.0000,8.9000,14.1000,17.1000,29.2000
84.0000,9.9000,15.7000,17.2000,31.4000
96.0000,10.2000,17.3000,18.2000,32.1000
108.0000,10.8000,19.0000,18.8000,34.1000
120.0000,11.2000,19.9000,22.1000,35.8000
132.0000,11.6000,20.6000,22.8000,37.1000
144.0000,12.0000,21.2000,23.3000,38.4000
156.0000,12.3000,21.6000,23.7000,39.2000
168.0000,12.5000,21.9000,24.1000,40.0000
