			常温	60	90	120	归一常温	归一60	归一90	归一120					Derivative X1	Derivative Y1	Derivative X2	Derivative Y2	Derivative X3	Derivative Y3	Derivative X4	Derivative Y4
																1st derivative of "归一常温"		1st derivative of "归一60"		1st derivative of "归一90"		1st derivative of "归一120"
1	0	3.17805383034795	0.013	0.018	0.026	0.037	0.026	0.036	0.052	0.074	-3.64965874096066	-3.32423634052603	-2.95651156040071	-2.60369018577797	1	0.044	1	0.056	1	0.09	1	0.156
2	0.693147180559945	3.87120101090789	0.035	0.046	0.071	0.115	0.07	0.092	0.142	0.23	-2.65926003693278	-2.3859667019331	-1.95192822138088	-1.46967597005894	2	0.034	2	0.067	2	0.083	2	0.145
3	1.09861228866811	4.27666611901606	0.047	0.085	0.109	0.182	0.094	0.17	0.218	0.364	-2.36446049671213	-1.77195684193188	-1.52326021619305	-1.0106014113454	3	0.03	3	0.06	3	0.068	3	0.116
4	1.38629436111989	4.56434819146784	0.065	0.106	0.139	0.231	0.13	0.212	0.278	0.462	-2.04022082852656	-1.55116900431013	-1.2801341652915	-0.772190387900398	4	0.03	4	0.039	4	0.048	4	0.081
5	1.6094379124341	4.78749174278205	0.077	0.124	0.157	0.263	0.154	0.248	0.314	0.526	-1.87080267656851	-1.39432653281716	-1.15836229307388	-0.642454066244427	5	0.024	5	0.035	5	0.032	5	0.061
6	1.79175946922805	4.969813299576	0.089	0.141	0.171	0.292	0.178	0.282	0.342	0.584	-1.72597172869005	-1.26584820804402	-1.07294454191953	-0.53785429615391	6	0.022	6	0.033	6	0.015	6	0.051
7	1.94591014905531	5.12396397940326	0.099	0.157	0.172	0.314	0.198	0.314	0.344	0.628	-1.6194882482876	-1.15836229307388	-1.06711362160874	-0.465215112513938	7	0.013	7	0.032	7	0.011	7	0.029
8	2.07944154167984	5.25749537202778	0.102	0.173	0.182	0.321	0.204	0.346	0.364	0.642	-1.58963528513792	-1.06131650392441	-1.0106014113454	-0.443166975292176	8	0.00899999999999999	8	0.033	8	0.016	8	0.027
9	2.19722457733622	5.37527840768417	0.108	0.19	0.188	0.341	0.216	0.38	0.376	0.682	-1.53247687129797	-0.967584026261706	-0.978166135592243	-0.382725621138675	9	0.01	9	0.026	9	0.039	9	0.037
10	2.30258509299405	5.48063892334199	0.112	0.199	0.221	0.358	0.224	0.398	0.442	0.716	-1.4961092271271	-0.921303273697699	-0.816445396904439	-0.334075112021491	10	0.00800000000000001	10	0.016	10	0.04	10	0.03
11	2.39789527279837	5.57594910314632	0.116	0.206	0.228	0.371	0.232	0.412	0.456	0.742	-1.46101790731583	-0.886731929632611	-0.785262469467751	-0.298406035814757	11	0.00799999999999999	11	0.013	11	0.012	11	0.026
12	2.484906649788	5.66296048013595	0.12	0.212	0.233	0.384	0.24	0.424	0.466	0.768	-1.42711635564015	-0.858021823750179	-0.763569644856491	-0.263965545834465	12	0.00699999999999999	12	0.01	12	0.00899999999999998	12	0.021
13	2.56494935746154	5.74300318780948	0.123	0.216	0.237	0.392	0.246	0.432	0.474	0.784	-1.40242374304977	-0.839329690738027	-0.746547957287061	-0.243346258631729	13	0.005	13	0.00700000000000001	13	0.00799999999999998	13	0.016
14	2.63905732961526	5.8171111599632	0.125	0.219	0.241	0.4	0.25	0.438	0.482	0.8	-1.38629436111989	-0.825536368605691	-0.729811164931537	-0.22314355131421	14	0.004	14	0.00600000000000001	14	0.00800000000000001	14	0.016
